Numerot,
0,nolla
1,yksi
2,kaksi
3,kolme
4,neljä
5,viisi
6,kuusi
7,seitsemän
8,kahdeksan
9,yhdeksän
10,kymmenen
11,yksitoista
12,kaksitoista
13,kolmetoista
14,neljätoista
15,viisitoista
16,kussitoista
17,seitsemäntoista
18,kahdeksantoista
19,yhdeksäntoista
20,kaksikymmentä
21,kaksikymmentäyksi
22,kaksikymmentäkaksi
,
30,kolmekymmentä
40,neljäkymmentä
50,viisikymmentä
60,kuusikymentä
70,seitsemänkymmentä
80,kahdeksänkymmentä
90,yhdeksänkymmentä
,
100,sata
101,satayksi
,
200,kaksisataa
300,kolmesataa
,
1000,tuhat
2000,kaksituhatta
500000,viisisataatuhatta
1000000,miljoona
2000000,kaksimiljoonaa
